feature_type,hour,dow,month,1,Billet Yard,Billet Yard Left,Coil Yard,Coil Yard Camera-2,DISHPATCH GATE,ECR6 SBL,Finishing Stand,Furnace Oil Reading,Junk Yard,Mukandsumi,Mukansumi,NDT,PSM,SBL DUMPING YARD,SBL Loading,SBL MTA Desk,Utility Back Right,Utility Road Left,default
Camera Fault,0,5,4,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.403508772,0.438596491,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193
Camera Fault,0,5,7,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.444444444,0.401709402,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009
Camera Fault,0,5,10,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.728571429,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
Camera Fault,0,5,12,0.031842818,0.032520325,0.031842818,0.029810298,0.033197832,0.031842818,0.000677507,0.030487805,0.000677507,0.000677507,0.462059621,0.031842818,0.034552846,0.031165312,0.031842818,0.031842818,0.031842818,0.030487805,0.030487805,0.060298103
Camera Fault,0,6,1,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.426229508,0.409836066,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.008196721,0.024590164,0.008196721,0.008196721
Camera Fault,0,6,4,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.693548387,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032
Camera Fault,0,6,5,0.005617978,0.005617978,0.005617978,0.011235955,0.005617978,0.005617978,0.275280899,0.005617978,0.005617978,0.303370787,0.005617978,0.005617978,0.005617978,0.005617978,0.005617978,0.303370787,0.011235955,0.016853933,0.005617978,0.005617978
Camera Fault,0,6,7,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.707692308,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
Camera Fault,0,6,10,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.422413793,0.422413793,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069
Camera Fault,1,0,1,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.68852459,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443
Camera Fault,1,0,5,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.419354839,0.435483871,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516,0.008064516
Camera Fault,1,0,8,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.693548387,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032
Camera Fault,1,0,10,0.031375167,0.032042724,0.031375167,0.03070761,0.032042724,0.031375167,0.000667557,0.031375167,0.000667557,0.000667557,0.460614152,0.031375167,0.034045394,0.031375167,0.034045394,0.031375167,0.03070761,0.031375167,0.031375167,0.06141522
Camera Fault,1,1,3,0.006849315,0.006849315,0.006849315,0.01369863,0.01369863,0.006849315,0.006849315,0.006849315,0.006849315,0.342465753,0.01369863,0.006849315,0.006849315,0.006849315,0.006849315,0.006849315,0.006849315,0.294520548,0.226027397,0.006849315
Camera Fault,1,1,5,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.672413793,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379
Camera Fault,1,1,8,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.446280992,0.404958678,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463,0.008264463
Camera Fault,1,1,11,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.693548387,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032
Camera Fault,1,2,2,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.408695652,0.434782609,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652
Camera Fault,1,2,3,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.681818182,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.015151515,0.03030303,0.03030303,0.015151515
Camera Fault,1,2,6,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.739726027,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
Camera Fault,1,2,8,0.031922276,0.031922276,0.032616239,0.029146426,0.032616239,0.031922276,0.000693963,0.031228314,0.000693963,0.000693963,0.46148508,0.031228314,0.034004164,0.031922276,0.034004164,0.032616239,0.030534351,0.031922276,0.032616239,0.056210965
Camera Fault,1,2,11,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.447368421,0.394736842,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193
Camera Fault,1,3,2,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.707692308,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
Camera Fault,1,3,6,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.45045045,0.387387387,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009,0.009009009
