"location","hour","dow","month","Camera Fault","Helmet Not Detected","Zone Intrusion"
"1",0,0,6,0.037037037037037035,0.037037037037037035,0.9259259259259259
"1",0,0,9,0.010752688172043012,0.043010752688172046,0.946236559139785
"1",0,0,10,0.9574468085106383,0.02127659574468085,0.02127659574468085
"1",0,0,12,0.0136986301369863,0.0684931506849315,0.9178082191780822
"1",0,1,4,0.012345679012345678,0.024691358024691357,0.9629629629629629
"1",0,1,7,0.006622516556291391,0.006622516556291391,0.9867549668874173
"1",0,1,9,0.0196078431372549,0.0196078431372549,0.9607843137254902
"1",0,1,12,0.25,0.25,0.5
"1",0,2,1,0.0049504950495049506,0.009900990099009901,0.9851485148514851
"1",0,2,4,0.125,0.125,0.75
"1",0,2,7,0.01282051282051282,0.01282051282051282,0.9743589743589743
"1",0,2,8,0.9555555555555556,0.022222222222222223,0.022222222222222223
"1",0,2,10,0.013157894736842105,0.013157894736842105,0.9736842105263158
"1",0,3,1,0.02127659574468085,0.06382978723404255,0.9148936170212766
"1",0,3,5,0.006024096385542169,0.006024096385542169,0.9879518072289156
"1",0,3,10,0.06666666666666667,0.4,0.5333333333333333
"1",0,4,5,0.029411764705882353,0.029411764705882353,0.9411764705882353
"1",0,4,8,0.009345794392523364,0.018691588785046728,0.9719626168224299
"1",0,5,2,0.0070921985815602835,0.0070921985815602835,0.9858156028368794
"1",0,5,3,0.003205128205128205,0.003205128205128205,0.9935897435897436
"1",0,5,8,0.01694915254237288,0.01694915254237288,0.9661016949152542
"1",0,5,11,0.0033333333333333335,0.006666666666666667,0.99
"1",0,5,12,0.9591836734693877,0.02040816326530612,0.02040816326530612
"1",0,6,2,0.0044444444444444444,0.017777777777777778,0.9777777777777777
"1",0,6,3,0.006756756756756757,0.006756756756756757,0.9864864864864865
"1",0,6,6,0.0136986301369863,0.0136986301369863,0.9726027397260274
"1",1,0,6,0.011111111111111112,0.011111111111111112,0.9777777777777777
"1",1,0,9,0.011494252873563218,0.011494252873563218,0.9770114942528736
"1",1,0,10,0.9591836734693877,0.02040816326530612,0.02040816326530612
"1",1,0,12,0.01694915254237288,0.01694915254237288,0.9661016949152542
"1",1,1,4,0.004807692307692308,0.004807692307692308,0.9903846153846154
"1",1,1,7,0.021739130434782608,0.021739130434782608,0.9565217391304348
"1",1,1,9,0.00847457627118644,0.05084745762711865,0.940677966101695
"1",1,1,12,0.014285714285714285,0.04285714285714286,0.9428571428571428
"1",1,2,1,0.004608294930875576,0.03225806451612903,0.9631336405529954
"1",1,2,4,0.02564102564102564,0.02564102564102564,0.9487179487179487
"1",1,2,7,0.004807692307692308,0.004807692307692308,0.9903846153846154
"1",1,2,8,0.9583333333333334,0.020833333333333332,0.020833333333333332
"1",1,2,10,0.013333333333333334,0.04,0.9466666666666667
"1",1,3,1,0.010526315789473684,0.010526315789473684,0.9789473684210527
"1",1,3,5,0.005050505050505051,0.005050505050505051,0.98989898989899
"1",1,3,10,0.05555555555555555,0.05555555555555555,0.8888888888888888
"1",1,4,5,0.007194244604316547,0.014388489208633094,0.9784172661870504
"1",1,4,8,0.058823529411764705,0.058823529411764705,0.8823529411764706
"1",1,5,2,0.021739130434782608,0.043478260869565216,0.9347826086956522
"1",1,5,3,0.006329113924050633,0.006329113924050633,0.9873417721518988
"1",1,5,8,0.011235955056179775,0.0449438202247191,0.9438202247191011
"1",1,5,11,0.0026246719160104987,0.005249343832020997,0.9921259842519685
"1",1,5,12,0.9574468085106383,0.02127659574468085,0.02127659574468085
"1",1,6,2,0.0048543689320388345,0.009708737864077669,0.9854368932038835
"1",1,6,3,0.013888888888888888,0.013888888888888888,0.9722222222222222
"1",1,6,6,0.007042253521126761,0.007042253521126761,0.9859154929577465
"1",1,6,11,0.25,0.5,0.25
"1",2,0,6,0.07692307692307693,0.07692307692307693,0.8461538461538461
"1",2,0,9,0.14285714285714285,0.14285714285714285,0.7142857142857143
"1",2,0,10,0.8,0.1,0.1
"1",2,0,12,0.018867924528301886,0.03773584905660377,0.9433962264150944
"1",2,1,4,0.012987012987012988,0.012987012987012988,0.974025974025974
"1",2,1,7,0.010309278350515464,0.020618556701030927,0.9690721649484536
"1",2,1,9,0.015151515151515152,0.015151515151515152,0.9696969696969697
"1",2,1,12,0.09090909090909091,0.7272727272727273,0.18181818181818182
"1",2,2,1,0.001949317738791423,0.007797270955165692,0.9902534113060428
"1",2,2,4,0.06666666666666667,0.06666666666666667,0.8666666666666667
"1",2,2,7,0.05555555555555555,0.05555555555555555,0.8888888888888888
"1",2,2,8,0.75,0.125,0.125
"1",2,2,10,0.006535947712418301,0.006535947712418301,0.9869281045751634
"1",2,3,1,0.005291005291005291,0.005291005291005291,0.9894179894179894
"1",2,3,5,0.012658227848101266,0.012658227848101266,0.9746835443037974
"1",2,4,5,0.009523809523809525,0.009523809523809525,0.9809523809523809
"1",2,4,8,0.011627906976744186,0.011627906976744186,0.9767441860465116
"1",2,5,2,0.020833333333333332,0.020833333333333332,0.9583333333333334
"1",2,5,3,0.0023148148148148147,0.006944444444444444,0.9907407407407407
"1",2,5,8,0.0029850746268656717,0.0029850746268656717,0.9940298507462687
"1",2,5,11,0.002932551319648094,0.008797653958944282,0.9882697947214076
"1",2,5,12,0.8,0.1,0.1
"1",2,6,2,0.0036496350364963502,0.0036496350364963502,0.9927007299270073
"1",2,6,3,0.02702702702702703,0.10810810810810811,0.8648648648648649
"1",2,6,6,0.0036900369003690036,0.0036900369003690036,0.992619926199262
"1",2,6,11,0.011904761904761904,0.011904761904761904,0.9761904761904762
"1",3,0,6,0.007575757575757576,0.007575757575757576,0.9848484848484849
"1",3,0,9,0.013888888888888888,0.027777777777777776,0.9583333333333334
"1",3,0,12,0.03333333333333333,0.03333333333333333,0.9333333333333333
"1",3,1,4,0.047619047619047616,0.09523809523809523,0.8571428571428571
"1",3,1,7,0.016666666666666666,0.016666666666666666,0.9666666666666667
"1",3,1,9,0.012048192771084338,0.012048192771084338,0.9759036144578314
"1",3,1,12,0.012345679012345678,0.2345679012345679,0.7530864197530864
"1",3,2,1,0.0024813895781637717,0.009925558312655087,0.9875930521091811
"1",3,2,4,0.023255813953488372,0.023255813953488372,0.9534883720930233
"1",3,2,7,0.0025,0.0075,0.99
"1",3,2,10,0.007936507936507936,0.015873015873015872,0.9761904761904762
"1",3,3,1,0.002044989775051125,0.016359918200409,0.9815950920245399
"1",3,3,5,0.01098901098901099,0.01098901098901099,0.978021978021978
"1",3,3,10,0.25,0.5,0.25
"1",3,4,5,0.25,0.5,0.25
"1",3,4,8,0.006134969325153374,0.006134969325153374,0.9877300613496932
"1",3,5,2,0.010526315789473684,0.010526315789473684,0.9789473684210527
"1",3,5,3,0.012987012987012988,0.012987012987012988,0.974025974025974
"1",3,5,8,0.00684931506849315,0.00684931506849315,0.9863013698630136
"1",3,5,11,0.0056179775280898875,0.0056179775280898875,0.9887640449438202
"1",3,6,2,0.004219409282700422,0.012658227848101266,0.9831223628691983
"1",3,6,3,0.25,0.5,0.25
"1",3,6,6,0.009345794392523364,0.037383177570093455,0.9532710280373832
"1",4,0,6,0.009174311926605505,0.009174311926605505,0.981651376146789
"1",4,0,9,0.003289473684210526,0.006578947368421052,0.9901315789473685
"1",4,0,12,0.027777777777777776,0.027777777777777776,0.9444444444444444
"1",4,1,4,0.045454545454545456,0.045454545454545456,0.9090909090909091
"1",4,1,7,0.011904761904761904,0.047619047619047616,0.9404761904761905
"1",4,1,9,0.005847953216374269,0.017543859649122806,0.9766081871345029
"1",4,1,12,0.25,0.25,0.5
"1",4,2,1,0.01639344262295082,0.01639344262295082,0.9672131147540983
"1",4,2,4,0.021739130434782608,0.021739130434782608,0.9565217391304348
"1",4,2,7,0.05555555555555555,0.05555555555555555,0.8888888888888888
"1",4,2,10,0.018867924528301886,0.03773584905660377,0.9433962264150944
"1",4,3,1,0.012987012987012988,0.05194805194805195,0.935064935064935
"1",4,3,5,0.0056179775280898875,0.011235955056179775,0.9831460674157303
"1",4,4,5,0.08333333333333333,0.08333333333333333,0.8333333333333334
"1",4,4,8,0.006944444444444444,0.013888888888888888,0.9791666666666666
"1",4,5,2,0.013888888888888888,0.013888888888888888,0.9722222222222222
"1",4,5,3,0.0022271714922048997,0.0022271714922048997,0.9955456570155902
"1",4,5,8,0.023809523809523808,0.11904761904761904,0.8571428571428571
"1",4,5,11,0.0024449877750611247,0.02444987775061125,0.9731051344743277
"1",4,6,2,0.008333333333333333,0.008333333333333333,0.9833333333333333
"1",4,6,6,0.07692307692307693,0.07692307692307693,0.8461538461538461
"1",4,6,11,0.02702702702702703,0.10810810810810811,0.8648648648648649
"1",5,0,6,0.02564102564102564,0.05128205128205128,0.9230769230769231
"1",5,0,9,0.004424778761061947,0.01327433628318584,0.9823008849557522
"1",5,0,12,0.008849557522123894,0.1415929203539823,0.8495575221238938
"1",5,1,4,0.008064516129032258,0.016129032258064516,0.9758064516129032
"1",5,1,7,0.003861003861003861,0.02702702702702703,0.9691119691119691
"1",5,1,9,0.008771929824561403,0.02631578947368421,0.9649122807017544
"1",5,1,12,0.02,0.02,0.96
"1",5,2,1,0.004081632653061225,0.024489795918367346,0.9714285714285714
"1",5,2,4,0.022727272727272728,0.11363636363636363,0.8636363636363636
"1",5,2,7,0.1111111111111111,0.1111111111111111,0.7777777777777778
"1",5,2,10,0.005847953216374269,0.023391812865497075,0.9707602339181286
"1",5,3,1,0.017543859649122806,0.07017543859649122,0.9122807017543859
"1",5,3,5,0.003067484662576687,0.006134969325153374,0.99079754601227
"1",5,3,10,0.023255813953488372,0.06976744186046512,0.9069767441860465
"1",5,4,5,0.011764705882352941,0.047058823529411764,0.9411764705882353
"1",5,4,8,0.0064516129032258064,0.012903225806451613,0.9806451612903225
"1",5,5,2,0.007575757575757576,0.015151515151515152,0.9772727272727273
"1",5,5,3,0.011764705882352941,0.011764705882352941,0.9764705882352941
"1",5,5,8,0.0196078431372549,0.0392156862745098,0.9411764705882353
"1",5,5,11,0.003236245954692557,0.009708737864077669,0.9870550161812298
"1",5,6,2,0.016129032258064516,0.08064516129032258,0.9032258064516129
"1",5,6,3,0.015625,0.046875,0.9375
"1",5,6,6,0.0078125,0.0078125,0.984375
"1",5,6,11,0.012658227848101266,0.0759493670886076,0.9113924050632911
"1",6,0,6,0.003968253968253968,0.003968253968253968,0.9920634920634921
"1",6,0,9,0.007936507936507936,0.023809523809523808,0.9682539682539683
"1",6,0,12,0.007874015748031496,0.007874015748031496,0.984251968503937
"1",6,1,4,0.0022371364653243847,0.0044742729306487695,0.9932885906040269
"1",6,1,7,0.005025125628140704,0.020100502512562814,0.9748743718592965
"1",6,1,9,0.007407407407407408,0.022222222222222223,0.9703703703703703
"1",6,1,12,0.006993006993006993,0.006993006993006993,0.986013986013986
"1",6,2,1,0.002890173410404624,0.02023121387283237,0.976878612716763
"1",6,2,4,0.023255813953488372,0.3023255813953488,0.6744186046511628
"1",6,2,7,0.007246376811594203,0.021739130434782608,0.9710144927536232
"1",6,2,10,0.004484304932735426,0.23766816143497757,0.757847533632287
"1",6,3,1,0.015625,0.140625,0.84375
"1",6,3,5,0.007936507936507936,0.015873015873015872,0.9761904761904762
"1",6,3,10,0.007142857142857143,0.007142857142857143,0.9857142857142858
"1",6,4,5,0.006493506493506494,0.025974025974025976,0.9675324675324676
"1",6,4,8,0.003816793893129771,0.003816793893129771,0.9923664122137404
"1",6,5,2,0.007462686567164179,0.014925373134328358,0.9776119402985075
"1",6,5,3,0.005319148936170213,0.010638297872340425,0.9840425531914894
"1",6,5,8,0.00641025641025641,0.019230769230769232,0.9743589743589743
"1",6,5,11,0.0072992700729927005,0.021897810218978103,0.9708029197080292
"1",6,6,2,0.00819672131147541,0.040983606557377046,0.9508196721311475
"1",6,6,3,0.011764705882352941,0.011764705882352941,0.9764705882352941
"1",6,6,6,0.007692307692307693,0.007692307692307693,0.9846153846153847
"1",6,6,11,0.007518796992481203,0.03759398496240601,0.9548872180451128
"1",7,0,6,0.004672897196261682,0.037383177570093455,0.9579439252336449
"1",7,0,9,0.006134969325153374,0.04294478527607362,0.950920245398773
"1",7,0,12,0.008333333333333333,0.15,0.8416666666666667
"1",7,1,4,0.0023752969121140144,0.0023752969121140144,0.995249406175772
"1",7,1,7,0.010752688172043012,0.010752688172043012,0.978494623655914
"1",7,1,9,0.058823529411764705,0.29411764705882354,0.6470588235294118
"1",7,1,12,0.012195121951219513,0.04878048780487805,0.9390243902439024
"1",7,2,1,0.0020325203252032522,0.08536585365853659,0.9126016260162602
"1",7,2,4,0.015873015873015872,0.015873015873015872,0.9682539682539683
"1",7,2,7,0.022727272727272728,0.045454545454545456,0.9318181818181818
"1",7,2,10,0.007936507936507936,0.10317460317460317,0.8888888888888888
"1",7,3,1,0.013333333333333334,0.05333333333333334,0.9333333333333333
"1",7,3,5,0.004694835680751174,0.028169014084507043,0.9671361502347418
"1",7,3,10,0.041666666666666664,0.25,0.7083333333333334
"1",7,4,4,0.8571428571428571,0.07142857142857142,0.07142857142857142
"1",7,4,5,0.006211180124223602,0.13043478260869565,0.8633540372670807
"1",7,4,8,0.01694915254237288,0.06779661016949153,0.9152542372881356
"1",7,5,2,0.004149377593360996,0.04564315352697095,0.950207468879668
